timestamp,event_type,registry_key,parser,message
2023-12-26T00:34:23.903241+00:00,RegistryModify,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\AppxAllUserStore\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.CredDialogHost_10.0.19595.1001_neutral_neutral_cw5n1h2txyewy],winreg/winreg_default,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\AppxAllUserStore\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.CredDialogHost_10.0.19595.1001_neutral_neutral_cw5n1h2txyewy] LastReturnValue: [REG_DWORD_LE] 0 NumberOfAttempts: [REG_DWORD_LE] 1 Path: [REG_SZ] C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy\AppxManifest.xml
2023-12-26T00:34:24.183077+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '12'  'svchost.exe'  '34'  'Host Process for Windows Services'  '36'  '10.0.22621.1 (WinBuild.160101.0800)'  '62035'  '52735'  '32'  'C:\\Windows\\System32\\svchost.exe'  '37'  'Microsoft® Windows® Operating System'  '22'  'Mi
2023-12-26T00:34:24.183077+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '12'  'svchost.exe'  '34'  'Host Process for Windows Services'  '36'  '10.0.22621.1 (WinBuild.160101.0800)'  '62035'  '52735'  '32'  'C:\\Windows\\System32\\svchost.exe'  '37'  'Microsoft® Windows® Operating System'  '22'  'Mi
2023-12-26T00:34:24.183395+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '12'  'MsMpEng.exe'  '31'  'Antimalware Service Executable'  '59'  '4.18.23100.2009 (8fcbd1c22d82af16ba34560e1a70591413e88d17)'  '22399'  '14899'  '81'  'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.23100.2009-
2023-12-26T00:34:24.183395+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '12'  'MsMpEng.exe'  '31'  'Antimalware Service Executable'  '59'  '4.18.23100.2009 (8fcbd1c22d82af16ba34560e1a70591413e88d17)'  '22399'  '14899'  '81'  'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.23100.2009-
2023-12-26T00:34:24.184834+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '11'  'sppsvc.exe'  '47'  'Microsoft Software Protection Platform Service'  '36'  '10.0.22621.1 (WinBuild.160101.0800)'  '2185'  '1185'  '31'  'C:\\Windows\\System32\\sppsvc.exe'  '37'  'Microsoft® Windows® Operating System'  
2023-12-26T00:34:24.184834+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '11'  'sppsvc.exe'  '47'  'Microsoft Software Protection Platform Service'  '36'  '10.0.22621.1 (WinBuild.160101.0800)'  '2185'  '1185'  '31'  'C:\\Windows\\System32\\sppsvc.exe'  '37'  'Microsoft® Windows® Operating System'  
2023-12-26T00:34:24.184988+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '13'  'vmtoolsd.exe'  '26'  'VMware Tools Core Service'  '13'  '12.3.0.44994'  '1410'  '410'  '50'  'C:\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe'  '13'  'VMware Tools'  '13'  'VMware  Inc.'] Computer Name: WinDev2311
2023-12-26T00:34:24.184988+00:00,ServiceModify,,winevtx,[101 / 0x0065] Provider identifier: {cfc18ec0-96b1-4eba-961b-622caee05b0a} Source Name: Microsoft-Windows-Diagnostics-Performance Strings: ['2023-12-26T00:31:25.713041400Z'  '13'  'vmtoolsd.exe'  '26'  'VMware Tools Core Service'  '13'  '12.3.0.44994'  '1410'  '410'  '50'  'C:\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe'  '13'  'VMware Tools'  '13'  'VMware  Inc.'] Computer Name: WinDev2311
2023-12-26T00:34:24.191060+00:00,ServiceModify,,winevtx,[10002 / 0x2712] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['6'  'Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  'C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\a6ea9d91-4310-419e-a592-e94f9934d0f3_S-1-5-21-2701124392-30314147-1419915659-1000_31.rslc'] Computer Name: WinDev2311Eval Record Number:
2023-12-26T00:34:24.191060+00:00,ServiceModify,,winevtx,[10002 / 0x2712] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['6'  'Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  'C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\a6ea9d91-4310-419e-a592-e94f9934d0f3_S-1-5-21-2701124392-30314147-1419915659-1000_31.rslc'] Computer Name: WinDev2311Eval Record Number:
2023-12-26T00:34:24.198123+00:00,ServiceModify,,winevtx,[607 / 0x025f] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['6'  'Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  'S-1-5-21-2701124392-30314147-1419915659-1000'  'svchost.exe AppReadiness'] Computer Name: WinDev2311Eval Record Number: 8440 Event Level: 4
2023-12-26T00:34:24.198123+00:00,ServiceModify,,winevtx,[607 / 0x025f] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['6'  'Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  'S-1-5-21-2701124392-30314147-1419915659-1000'  'svchost.exe AppReadiness'] Computer Name: WinDev2311Eval Record Number: 8440 Event Level: 4
2023-12-26T00:34:24.203732+00:00,ServiceModify,,winevtx,[854 / 0x0356] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: [' C:\\Windows\\SystemApps\\Microsoft.AsyncTextService_8wekyb3d8bbwe\\AppxManifest.xml'] Computer Name: WinDev2311Eval Record Number: 8441 Event Level: 4
2023-12-26T00:34:24.203732+00:00,ServiceModify,,winevtx,[854 / 0x0356] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: [' C:\\Windows\\SystemApps\\Microsoft.AsyncTextService_8wekyb3d8bbwe\\AppxManifest.xml'] Computer Name: WinDev2311Eval Record Number: 8441 Event Level: 4
2023-12-26T00:34:24.305741+00:00,ServiceModify,,winevtx,[855 / 0x0357] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: [' addPackageList: Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 8442 Event Level: 4
2023-12-26T00:34:24.305741+00:00,ServiceModify,,winevtx,[855 / 0x0357] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: [' addPackageList: Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 8442 Event Level: 4
2023-12-26T00:34:24.454790+00:00,ServiceModify,,winevtx,[62144 / 0xf2c0] Provider identifier: {30336ed4-e327-447c-9de0-51b652c86108} Source Name: Microsoft-Windows-Shell-Core Strings: ['Microsoft.AsyncTextService_8wekyb3d8bbwe'  'Installing'  '0'] Computer Name: WinDev2311Eval Record Number: 2243 Event Level: 4
2023-12-26T00:34:24.454790+00:00,ServiceModify,,winevtx,[62144 / 0xf2c0] Provider identifier: {30336ed4-e327-447c-9de0-51b652c86108} Source Name: Microsoft-Windows-Shell-Core Strings: ['Microsoft.AsyncTextService_8wekyb3d8bbwe'  'Installing'  '0'] Computer Name: WinDev2311Eval Record Number: 2243 Event Level: 4
2023-12-26T00:34:24.495374+00:00,ServiceModify,,winevtx,[10000 / 0x2710] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8445 Event Level: 5
2023-12-26T00:34:24.495374+00:00,ServiceModify,,winevtx,[10000 / 0x2710] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.AsyncTextService_10.0.22621.1_neutral__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8445 Event Level: 5
2023-12-26T00:34:24.710041+00:00,ServiceModify,,winevtx,[603 / 0x025b] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['20'  'Microsoft.AsyncTextService_8wekyb3d8bbwe'  '67109440'  '262144'  'svchost.exe AppReadiness'  ''] Computer Name: WinDev2311Eval Record Number: 8438 Event Level: 4
2023-12-26T00:34:24.710041+00:00,ServiceModify,,winevtx,[603 / 0x025b] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['20'  'Microsoft.AsyncTextService_8wekyb3d8bbwe'  '67109440'  '262144'  'svchost.exe AppReadiness'  ''] Computer Name: WinDev2311Eval Record Number: 8438 Event Level: 4
2023-12-26T00:34:26.553481+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.AsyncTextService_8wekyb3d8bbwe\PSR] WnfStateName: [REG_BINARY] (8 bytes),winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.AsyncTextService_8wekyb3d8bbwe\PSR] WnfStateName: [REG_BINARY] (8 bytes)
2023-12-26T00:34:26.553481+00:00,RegistryModify,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\PackageState\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.AsyncTextService_8wekyb3d8bbwe] WnfStateName: [REG_BINARY] (8 byte,winreg/winreg_default,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\PackageState\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.AsyncTextService_8wekyb3d8bbwe] WnfStateName: [REG_BINARY] (8 bytes)
2023-12-26T00:34:26.553481+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.AsyncTextService_8wekyb3d8bbwe\PSR] WnfStateName: [REG_BINARY] (8 bytes),winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.AsyncTextService_8wekyb3d8bbwe\PSR] WnfStateName: [REG_BINARY] (8 bytes)
2023-12-26T00:34:26.553481+00:00,RegistryModify,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\PackageState\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.AsyncTextService_8wekyb3d8bbwe] WnfStateName: [REG_BINARY] (8 byte,winreg/winreg_default,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Appx\PackageState\S-1-5-21-2701124392-30314147-1419915659-1000\Microsoft.AsyncTextService_8wekyb3d8bbwe] WnfStateName: [REG_BINARY] (8 bytes)
2023-12-26T00:34:26.569898+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Mappings\S-1-15-2-284907560-3695622717-2124867970-90980536-1928201052-1028515541-1033863524\Chi,winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Mappings\S-1-15-2-284907560-3695622717-2124867970-90980536-1928201052-1028515541-1033863524\Children] (empty)
2023-12-26T00:34:26.569898+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Mappings\S-1-15-2-284907560-3695622717-2124867970-90980536-1928201052-1028515541-1033863524] Di,winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Mappings\S-1-15-2-284907560-3695622717-2124867970-90980536-1928201052-1028515541-1033863524] DisplayName: [REG_SZ] ms-resource:AppDisplayName Moniker: [REG_SZ] microsoft.asynctextservice_8wekyb3d8bbwe
2023-12-26T00:34:26.569898+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.asynctextservice_8wekyb3d8bbwe\Children] (empty),winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.asynctextservice_8wekyb3d8bbwe\Children] (empty)
2023-12-26T00:34:26.569898+00:00,RegistryModify,HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.asynctextservice_8wekyb3d8bbwe] (empty),winreg/winreg_default,[HKEY_CURRENT_USER\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\microsoft.asynctextservice_8wekyb3d8bbwe] (empty)
